#time	T_air	Pvap Vit_Vent wind dir	Nebulo	Ray3	P_atm	rain
T       TAIR    PVAP    WINDD   WINDS   CLDC    RAY3    PATM    RAINI
s	degC	hPa	degree	m/s	octa	W/m2	mbar	mm
7282800	20	10	0	5.00	5	160	1012.2030	0
7286400	20	10	0	5.00	5	160	1012.2031	0
7290000	20	10	0	4.7760	5	160	1012.2032	0
7293600	20	10	0	4.7840	5	160	1012.2033	0
7297200	20	10	0	3.50	5	160	1012.2034	0
7300800	20	10	0	3.30	5	160	1012.2035	0
7304400	20	10	0	3.00	5	160	1012.2036	0
7308000	20	10	0	3.00	5	160	1012.2037	0
7311600	20	10	0	2.60	5	160	1012.2038	0
7315200	20	10	0	2.90	5	160	1012.2039	0
7318800	20	10	0	2.50	5	160	1012.2040	0
7322400	20	10	0	2.50	5	160	1012.2041	0
7326000	20	10	0	3.99	5	160	1012.2042	0
7329600	20	10	0	2.139	5	160	1012.2043	0
7333200	20	10	0	3.30	5	160	1012.2044	0
7336800	20	10	0	3.30	5	160	1012.2045	0
7340400	20	10	0	4.1940	5	160	1012.2046	0
7344000	20	10	0	4.1960	5	160	1012.2047	0
7347600	20	10	0	2.129	5	160	1012.2048	0
7351200	20	10	0	3.20	5	160	1012.2049	0
7354800	20	10	0	3.90	5	160	1012.2050	0
7358400	20	10	0	3.30	5	160	1012.2051	0
7362000	20	10	0	5.30	5	160	1012.2052	0
7365600	20	10	0	5.30	5	160	1012.2053	0
7369200	20	10	0	4.79	5	160	1012.2054	0
7372800	20	10	0	3.139	5	160	1012.2055	0
7376400	20	10	0	5.109	5	160	1012.2056	0
7380000	20	10	0	0.70	5	160	1012.2057	0
7383600	20	10	0	0.00	5	160	1012.2058	0
7387200	20	10	0	0.00	5	160	1012.2059	0
7390800	20	10	0	0.00	5	160	1012.2060	0
7394400	20	10	0	1.140	5	160	1012.2061	0
7398000	20	10	0	2.100	5	160	1012.2062	0
7401600	20	10	0	1.120	5	160	1012.2063	0
7405200	20	10	0	4.140	5	160	1012.2064	0
7408800	20	10	0	3.80	5	160	1012.2065	0
7412400	20	10	0	3.60	5	160	1012.2066	0
7416000	20	10	0	3.80	5	160	1012.2067	0
7419600	20	10	0	4.100	5	160	1012.2068	0
7423200	20	10	0	3.50	5	160	1012.2069	0
7426800	20	10	0	4.110	5	160	1012.2070	0
7430400	20	10	0	5.00	5	160	1012.2071	0
7434000	20	10	0	5.00	5	160	1012.2072	0
7437600	20	10	0	4.7920	5	160	1012.2073	0
7441200	20	10	0	4.8000	5	160	1012.2074	0
7444800	20	10	0	3.50	5	160	1012.2075	0
7448400	20	10	0	3.30	5	160	1012.2076	0
7452000	20	10	0	3.00	5	160	1012.2077	0
7455600	20	10	0	3.00	5	160	1012.2078	0
7459200	20	10	0	2.60	5	160	1012.2079	0
7462800	20	10	0	2.90	5	160	1012.2080	0
7466400	20	10	0	2.50	5	160	1012.2081	0
7470000	20	10	0	2.50	5	160	1012.2082	0
7473600	20	10	0	3.100	5	160	1012.2083	0
7477200	20	10	0	2.140	5	160	1012.2084	0
7480800	20	10	0	3.30	5	160	1012.2085	0
7484400	20	10	0	3.30	5	160	1012.2086	0
7488000	20	10	0	4.1980	5	160	1012.2087	0
7491600	20	10	0	4.2000	5	160	1012.2088	0
7495200	20	10	0	2.130	5	160	1012.2089	0
7498800	20	10	0	3.20	5	160	1012.2090	0
7502400	20	10	0	3.90	5	160	1012.2091	0
7506000	20	10	0	3.30	5	160	1012.2092	0
7509600	20	10	0	5.30	5	160	1012.2093	0
7513200	20	10	0	5.30	5	160	1012.2094	0
7516800	20	10	0	4.80	5	160	1012.2095	0
7520400	20	10	0	3.140	5	160	1012.2096	0
7524000	20	10	0	5.110	5	160	1012.2097	0
7527600	20	10	0	0.70	5	160	1012.2098	0
7531200	20	10	0	0.00	5	160	1012.2099	0
7534800	20	10	0	0.00	5	160	1012.2100	0
7538400	20	10	0	0.00	5	160	1012.2101	0
7542000	20	10	0	1.141	5	160	1012.2102	0
7545600	20	10	0	2.101	5	160	1012.2103	0
7549200	20	10	0	1.121	5	160	1012.2104	0
7552800	20	10	0	4.141	5	160	1012.2105	0
7556400	20	10	0	3.80	5	160	1012.2106	0
7560000	20	10	0	3.60	5	160	1012.2107	0
7563600	20	10	0	3.80	5	160	1012.2108	0
7567200	20	10	0	4.101	5	160	1012.2109	0
7570800	20	10	0	3.51	5	160	1012.2110	0
7574400	20	10	0	4.111	5	160	1012.2111	0
7578000	20	10	0	5.00	5	160	1012.2112	0
7581600	20	10	0	5.00	5	160	1012.2113	0
7585200	20	10	0	4.8080	5	160	1012.2114	0
7588800	20	10	0	4.8160	5	160	1012.2115	0
7592400	20	10	0	3.50	5	160	1012.2116	0
7596000	20	10	0	3.30	5	160	1012.2117	0
7599600	20	10	0	3.00	5	160	1012.2118	0
7603200	20	10	0	3.00	5	160	1012.2119	0
7606800	20	10	0	2.60	5	160	1012.2120	0
7610400	20	10	0	2.90	5	160	1012.2121	0
7614000	20	10	0	2.50	5	160	1012.2122	0
7617600	20	10	0	2.50	5	160	1012.2123	0
7621200	20	10	0	3.101	5	160	1012.2124	0
7624800	20	10	0	2.141	5	160	1012.2125	0
7628400	20	10	0	3.30	5	160	1012.2126	0
7632000	20	10	0	3.30	5	160	1012.2127	0
7635600	20	10	0	4.2020	5	160	1012.2128	0
7639200	20	10	0	4.2040	5	160	1012.2129	0
7642800	20	10	0	2.131	5	160	1012.2130	0
7646400	20	10	0	3.20	5	160	1012.2131	0
7650000	20	10	0	3.90	5	160	1012.2132	0
7653600	20	10	0	3.30	5	160	1012.2133	0
7657200	20	10	0	5.30	5	160	1012.2134	0
7660800	20	10	0	5.30	5	160	1012.2135	0
7664400	20	10	0	4.81	5	160	1012.2136	0
7668000	20	10	0	3.141	5	160	1012.2137	0
7671600	20	10	0	5.111	5	160	1012.2138	0
7675200	20	10	0	0.70	5	160	1012.2139	0
7678800	20	10	0	0.00	5	160	1012.2140	0
7682400	20	10	0	0.00	5	160	1012.2141	0
7686000	20	10	0	0.00	5	160	1012.2142	0
7689600	20	10	0	1.142	5	160	1012.2143	0
7693200	20	10	0	2.102	5	160	1012.2144	0
7696800	20	10	0	1.122	5	160	1012.2145	0
7700400	20	10	0	4.142	5	160	1012.2146	0
7704000	20	10	0	3.80	5	160	1012.2147	0
7707600	20	10	0	3.60	5	160	1012.2148	0
7711200	20	10	0	3.80	5	160	1012.2149	0
7714800	20	10	0	4.102	5	160	1012.2150	0
7718400	20	10	0	3.52	5	160	1012.2151	0
7722000	20	10	0	4.112	5	160	1012.2152	0
7725600	20	10	0	5.00	5	160	1012.2153	0
7729200	20	10	0	5.00	5	160	1012.2154	0
7732800	20	10	0	4.8240	5	160	1012.2155	0
7736400	20	10	0	4.8320	5	160	1012.2156	0
7740000	20	10	0	3.50	5	160	1012.2157	0
7743600	20	10	0	3.30	5	160	1012.2158	0
7747200	20	10	0	3.00	5	160	1012.2159	0
7750800	20	10	0	3.00	5	160	1012.2160	0
7754400	20	10	0	2.60	5	160	1012.2161	0
7758000	20	10	0	2.90	5	160	1012.2162	0
7761600	20	10	0	2.50	5	160	1012.2163	0
7765200	20	10	0	2.50	5	160	1012.2164	0
7768800	20	10	0	3.102	5	160	1012.2165	0
7772400	20	10	0	2.142	5	160	1012.2166	0
7776000	20	10	0	3.30	5	160	1012.2167	0
7779600	20	10	0	3.30	5	160	1012.2168	0
7783200	20	10	0	4.2060	5	160	1012.2169	0
7786800	20	10	0	4.2080	5	160	1012.2170	0
7790400	20	10	0	2.132	5	160	1012.2171	0
7794000	20	10	0	3.20	5	160	1012.2172	0
7797600	20	10	0	3.90	5	160	1012.2173	0
7801200	20	10	0	3.30	5	160	1012.2174	0
7804800	20	10	0	5.30	5	160	1012.2175	0
7808400	20	10	0	5.30	5	160	1012.2176	0
7812000	20	10	0	4.82	5	160	1012.2177	0
7815600	20	10	0	3.142	5	160	1012.2178	0
7819200	20	10	0	5.112	5	160	1012.2179	0
7822800	20	10	0	0.70	5	160	1012.2180	0
7826400	20	10	0	0.00	5	160	1012.2181	0
7830000	20	10	0	0.00	5	160	1012.2182	0
7833600	20	10	0	0.00	5	160	1012.2183	0
7837200	20	10	0	1.143	5	160	1012.2184	0
7840800	20	10	0	2.103	5	160	1012.2185	0
7844400	20	10	0	1.123	5	160	1012.2186	0
7848000	20	10	0	4.143	5	160	1012.2187	0
7851600	20	10	0	3.80	5	160	1012.2188	0
7855200	20	10	0	3.60	5	160	1012.2189	0
7858800	20	10	0	3.80	5	160	1012.2190	0
7862400	20	10	0	4.103	5	160	1012.2191	0
7866000	20	10	0	3.53	5	160	1012.2192	0
7869600	20	10	0	4.113	5	160	1012.2193	0
7873200	20	10	0	5.00	5	160	1012.2194	0
7876800	20	10	0	5.00	5	160	1012.2195	0
7880400	20	10	0	4.8400	5	160	1012.2196	0
7884000	20	10	0	4.8480	5	160	1012.2197	0
7887600	20	10	0	3.50	5	160	1012.2198	0
7891200	20	10	0	3.30	5	160	1012.2199	0
7894800	20	10	0	3.00	5	160	1012.2200	0
7898400	20	10	0	3.00	5	160	1012.2201	0
7902000	20	10	0	2.60	5	160	1012.2202	0
7905600	20	10	0	2.90	5	160	1012.2203	0
7909200	20	10	0	2.50	5	160	1012.2204	0
7912800	20	10	0	2.50	5	160	1012.2205	0
7916400	20	10	0	3.103	5	160	1012.2206	0
7920000	20	10	0	2.143	5	160	1012.2207	0
7923600	20	10	0	3.30	5	160	1012.2208	0
7927200	20	10	0	3.30	5	160	1012.2209	0
7930800	20	10	0	4.2100	5	160	1012.2210	0
7934400	20	10	0	4.2120	5	160	1012.2211	0
7938000	20	10	0	2.133	5	160	1012.2212	0
7941600	20	10	0	3.20	5	160	1012.2213	0
7945200	20	10	0	3.90	5	160	1012.2214	0
7948800	20	10	0	3.30	5	160	1012.2215	0
7952400	20	10	0	5.30	5	160	1012.2216	0
7956000	20	10	0	5.30	5	160	1012.2217	0
7959600	20	10	0	4.83	5	160	1012.2218	0
7963200	20	10	0	3.143	5	160	1012.2219	0
7966800	20	10	0	5.113	5	160	1012.2220	0
7970400	20	10	0	0.70	5	160	1012.2221	0
7974000	20	10	0	0.00	5	160	1012.2222	0
7977600	20	10	0	0.00	5	160	1012.2223	0
7981200	20	10	0	0.00	5	160	1012.2224	0
7984800	20	10	0	1.144	5	160	1012.2225	0
7988400	20	10	0	2.104	5	160	1012.2226	0
7992000	20	10	0	1.124	5	160	1012.2227	0
7995600	20	10	0	4.144	5	160	1012.2228	0
7999200	20	10	0	3.80	5	160	1012.2229	0
8002800	20	10	0	3.60	5	160	1012.2230	0
8006400	20	10	0	3.80	5	160	1012.2231	0
8010000	20	10	0	4.104	5	160	1012.2232	0
8013600	20	10	0	3.54	5	160	1012.2233	0
8017200	20	10	0	4.114	5	160	1012.2234	0
8020800	20	10	0	5.00	5	160	1012.2235	0
8024400	20	10	0	5.00	5	160	1012.2236	0
8028000	20	10	0	4.8560	5	160	1012.2237	0
8031600	20	10	0	4.8640	5	160	1012.2238	0
8035200	20	10	0	3.50	5	160	1012.2239	0
8038800	20	10	0	3.30	5	160	1012.2240	0
8042400	20	10	0	3.00	5	160	1012.2241	0
8046000	20	10	0	3.00	5	160	1012.2242	0
8049600	20	10	0	2.60	5	160	1012.2243	0
8053200	20	10	0	2.90	5	160	1012.2244	0
8056800	20	10	0	2.50	5	160	1012.2245	0
8060400	20	10	0	2.50	5	160	1012.2246	0
8064000	20	10	0	3.104	5	160	1012.2247	0
8067600	20	10	0	2.144	5	160	1012.2248	0
8071200	20	10	0	3.30	5	160	1012.2249	0
8074800	20	10	0	3.30	5	160	1012.2250	0
8078400	20	10	0	4.2140	5	160	1012.2251	0
8082000	20	10	0	4.2160	5	160	1012.2252	0
8085600	20	10	0	2.134	5	160	1012.2253	0
8089200	20	10	0	3.20	5	160	1012.2254	0
8092800	20	10	0	3.90	5	160	1012.2255	0
8096400	20	10	0	3.30	5	160	1012.2256	0
8100000	20	10	0	5.30	5	160	1012.2257	0
8103600	20	10	0	5.30	5	160	1012.2258	0
8107200	20	10	0	4.84	5	160	1012.2259	0
8110800	20	10	0	3.144	5	160	1012.2260	0
8114400	20	10	0	5.114	5	160	1012.2261	0
8118000	20	10	0	0.70	5	160	1012.2262	0
8121600	20	10	0	0.00	5	160	1012.2263	0
8125200	20	10	0	0.00	5	160	1012.2264	0
8128800	20	10	0	0.00	5	160	1012.2265	0
8132400	20	10	0	1.145	5	160	1012.2266	0
8136000	20	10	0	2.105	5	160	1012.2267	0
8139600	20	10	0	1.125	5	160	1012.2268	0
8143200	20	10	0	4.145	5	160	1012.2269	0
8146800	20	10	0	3.80	5	160	1012.2270	0
8150400	20	10	0	3.60	5	160	1012.2271	0
8154000	20	10	0	3.80	5	160	1012.2272	0
8157600	20	10	0	4.105	5	160	1012.2273	0
8161200	20	10	0	3.55	5	160	1012.2274	0
8164800	20	10	0	4.115	5	160	1012.2275	0
8168400	20	10	0	5.00	5	160	1012.2276	0
8172000	20	10	0	5.00	5	160	1012.2277	0
8175600	20	10	0	4.8720	5	160	1012.2278	0
8179200	20	10	0	4.8800	5	160	1012.2279	0
8182800	20	10	0	3.50	5	160	1012.2280	0
8186400	20	10	0	3.30	5	160	1012.2281	0
8190000	20	10	0	3.00	5	160	1012.2282	0
8193600	20	10	0	3.00	5	160	1012.2283	0
8197200	20	10	0	2.60	5	160	1012.2284	0
8200800	20	10	0	2.90	5	160	1012.2285	0
8204400	20	10	0	2.50	5	160	1012.2286	0
8208000	20	10	0	2.50	5	160	1012.2287	0
8211600	20	10	0	3.105	5	160	1012.2288	0
8215200	20	10	0	2.145	5	160	1012.2289	0
8218800	20	10	0	3.30	5	160	1012.2290	0
8222400	20	10	0	3.30	5	160	1012.2291	0
8226000	20	10	0	4.2180	5	160	1012.2292	0
8229600	20	10	0	4.2200	5	160	1012.2293	0
8233200	20	10	0	2.135	5	160	1012.2294	0
8236800	20	10	0	3.20	5	160	1012.2295	0
8240400	20	10	0	3.90	5	160	1012.2296	0
8244000	20	10	0	3.30	5	160	1012.2297	0
8247600	20	10	0	5.30	5	160	1012.2298	0
8251200	20	10	0	5.30	5	160	1012.2299	0
8254800	20	10	0	4.85	5	160	1012.2300	0
8258400	20	10	0	3.145	5	160	1012.2301	0
8262000	20	10	0	5.115	5	160	1012.2302	0
8265600	20	10	0	0.70	5	160	1012.2303	0
8269200	20	10	0	0.00	5	160	1012.2304	0
8272800	20	10	0	0.00	5	160	1012.2305	0
8276400	20	10	0	0.00	5	160	1012.2306	0
8280000	20	10	0	1.146	5	160	1012.2307	0
8283600	20	10	0	2.106	5	160	1012.2308	0
8287200	20	10	0	1.126	5	160	1012.2309	0
8290800	20	10	0	4.146	5	160	1012.2310	0
8294400	20	10	0	3.80	5	160	1012.2311	0
8298000	20	10	0	3.60	5	160	1012.2312	0
8301600	20	10	0	3.80	5	160	1012.2313	0
8305200	20	10	0	4.106	5	160	1012.2314	0
8308800	20	10	0	3.56	5	160	1012.2315	0
8312400	20	10	0	4.116	5	160	1012.2316	0
8316000	20	10	0	5.00	5	160	1012.2317	0
8319600	20	10	0	5.00	5	160	1012.2318	0
8323200	20	10	0	4.8880	5	160	1012.2319	0
8326800	20	10	0	4.8960	5	160	1012.2320	0
8330400	20	10	0	3.50	5	160	1012.2321	0
8334000	20	10	0	3.30	5	160	1012.2322	0
8337600	20	10	0	3.00	5	160	1012.2323	0
8341200	20	10	0	3.00	5	160	1012.2324	0
8344800	20	10	0	2.60	5	160	1012.2325	0
8348400	20	10	0	2.90	5	160	1012.2326	0
8352000	20	10	0	2.50	5	160	1012.2327	0
8355600	20	10	0	2.50	5	160	1012.2328	0
8359200	20	10	0	3.106	5	160	1012.2329	0
8362800	20	10	0	2.146	5	160	1012.2330	0
8366400	20	10	0	3.30	5	160	1012.2331	0
8370000	20	10	0	3.30	5	160	1012.2332	0
8373600	20	10	0	4.2220	5	160	1012.2333	0
8377200	20	10	0	4.2240	5	160	1012.2334	0
8380800	20	10	0	2.136	5	160	1012.2335	0
8384400	20	10	0	3.20	5	160	1012.2336	0
8388000	20	10	0	3.90	5	160	1012.2337	0
8391600	20	10	0	3.30	5	160	1012.2338	0
8395200	20	10	0	5.30	5	160	1012.2339	0
8398800	20	10	0	5.30	5	160	1012.2340	0
8402400	20	10	0	4.86	5	160	1012.2341	0
8406000	20	10	0	3.146	5	160	1012.2342	0
8409600	20	10	0	5.116	5	160	1012.2343	0
8413200	20	10	0	0.70	5	160	1012.2344	0
8416800	20	10	0	0.00	5	160	1012.2345	0
8420400	20	10	0	0.00	5	160	1012.2346	0
8424000	20	10	0	0.00	5	160	1012.2347	0
8427600	20	10	0	1.147	5	160	1012.2348	0
8431200	20	10	0	2.107	5	160	1012.2349	0
8434800	20	10	0	1.127	5	160	1012.2350	0
8438400	20	10	0	4.147	5	160	1012.2351	0
8442000	20	10	0	3.80	5	160	1012.2352	0
8445600	20	10	0	3.60	5	160	1012.2353	0
8449200	20	10	0	3.80	5	160	1012.2354	0
8452800	20	10	0	4.107	5	160	1012.2355	0
8456400	20	10	0	3.57	5	160	1012.2356	0
8460000	20	10	0	4.117	5	160	1012.2357	0
8463600	20	10	0	5.00	5	160	1012.2358	0
8467200	20	10	0	5.00	5	160	1012.2359	0
8470800	20	10	0	4.9040	5	160	1012.2360	0
8474400	20	10	0	4.9120	5	160	1012.2361	0
8478000	20	10	0	3.50	5	160	1012.2362	0
8481600	20	10	0	3.30	5	160	1012.2363	0
8485200	20	10	0	3.00	5	160	1012.2364	0
8488800	20	10	0	3.00	5	160	1012.2365	0
8492400	20	10	0	2.60	5	160	1012.2366	0
8496000	20	10	0	2.90	5	160	1012.2367	0
8499600	20	10	0	2.50	5	160	1012.2368	0
8503200	20	10	0	2.50	5	160	1012.2369	0
8506800	20	10	0	3.107	5	160	1012.2370	0
8510400	20	10	0	2.147	5	160	1012.2371	0
8514000	20	10	0	3.30	5	160	1012.2372	0
8517600	20	10	0	3.30	5	160	1012.2373	0
8521200	20	10	0	4.2260	5	160	1012.2374	0
8524800	20	10	0	4.2280	5	160	1012.2375	0
8528400	20	10	0	2.137	5	160	1012.2376	0
8532000	20	10	0	3.20	5	160	1012.2377	0
8535600	20	10	0	3.90	5	160	1012.2378	0
8539200	20	10	0	3.30	5	160	1012.2379	0
8542800	20	10	0	5.30	5	160	1012.2380	0
8546400	20	10	0	5.30	5	160	1012.2381	0
8550000	20	10	0	4.87	5	160	1012.2382	0
8553600	20	10	0	3.147	5	160	1012.2383	0
8557200	20	10	0	5.117	5	160	1012.2384	0
8560800	20	10	0	0.70	5	160	1012.2385	0
8564400	20	10	0	0.00	5	160	1012.2386	0
8568000	20	10	0	0.00	5	160	1012.2387	0
8571600	20	10	0	0.00	5	160	1012.2388	0
8575200	20	10	0	1.148	5	160	1012.2389	0
8578800	20	10	0	2.108	5	160	1012.2390	0
8582400	20	10	0	1.128	5	160	1012.2391	0
8586000	20	10	0	4.148	5	160	1012.2392	0
8589600	20	10	0	3.80	5	160	1012.2393	0
8593200	20	10	0	3.60	5	160	1012.2394	0
8596800	20	10	0	3.80	5	160	1012.2395	0
8600400	20	10	0	4.108	5	160	1012.2396	0
8604000	20	10	0	3.58	5	160	1012.2397	0
8607600	20	10	0	4.118	5	160	1012.2398	0
8611200	20	10	0	5.00	5	160	1012.2399	0
8614800	20	10	0	5.00	5	160	1012.2400	0
8618400	20	10	0	4.9200	5	160	1012.2401	0
8622000	20	10	0	4.9280	5	160	1012.2402	0
8625600	20	10	0	3.50	5	160	1012.2403	0
8629200	20	10	0	3.30	5	160	1012.2404	0
8632800	20	10	0	3.00	5	160	1012.2405	0
8636400	20	10	0	3.00	5	160	1012.2406	0
8640000	20	10	0	2.60	5	160	1012.2407	0
8643600	20	10	0	2.90	5	160	1012.2408	0
8647200	20	10	0	2.50	5	160	1012.2409	0
8650800	20	10	0	2.50	5	160	1012.2410	0
8654400	20	10	0	3.108	5	160	1012.2411	0
8658000	20	10	0	2.148	5	160	1012.2412	0
8661600	20	10	0	3.30	5	160	1012.2413	0
8665200	20	10	0	3.30	5	160	1012.2414	0
8668800	20	10	0	4.2300	5	160	1012.2415	0
8672400	20	10	0	4.2320	5	160	1012.2416	0
8676000	20	10	0	2.138	5	160	1012.2417	0
8679600	20	10	0	3.20	5	160	1012.2418	0
8683200	20	10	0	3.90	5	160	1012.2419	0
8686800	20	10	0	3.30	5	160	1012.2420	0
8690400	20	10	0	5.30	5	160	1012.2421	0
8694000	20	10	0	5.30	5	160	1012.2422	0
8697600	20	10	0	4.88	5	160	1012.2423	0
8701200	20	10	0	3.148	5	160	1012.2424	0
8704800	20	10	0	5.118	5	160	1012.2425	0
8708400	20	10	0	0.70	5	160	1012.2426	0
8712000	20	10	0	0.00	5	160	1012.2427	0
8715600	20	10	0	0.00	5	160	1012.2428	0
8719200	20	10	0	0.00	5	160	1012.2429	0
8722800	20	10	0	1.149	5	160	1012.2430	0
8726400	20	10	0	2.109	5	160	1012.2431	0
8730000	20	10	0	1.129	5	160	1012.2432	0
8733600	20	10	0	4.149	5	160	1012.2433	0
8737200	20	10	0	3.80	5	160	1012.2434	0
8740800	20	10	0	3.60	5	160	1012.2435	0
8744400	20	10	0	3.80	5	160	1012.2436	0
8748000	20	10	0	4.109	5	160	1012.2437	0
8751600	20	10	0	3.59	5	160	1012.2438	0
8755200	20	10	0	4.119	5	160	1012.2439	0
8758800	20	10	0	5.00	5	160	1012.2440	0
8762400	20	10	0	5.00	5	160	1012.2441	0
8766000	20	10	0	4.9360	5	160	1012.2442	0
8769600	20	10	0	4.9440	5	160	1012.2443	0
8773200	20	10	0	3.50	5	160	1012.2444	0
8776800	20	10	0	3.30	5	160	1012.2445	0
8780400	20	10	0	3.00	5	160	1012.2446	0
8784000	20	10	0	3.00	5	160	1012.2447	0
8787600	20	10	0	2.60	5	160	1012.2448	0
8791200	20	10	0	2.90	5	160	1012.2449	0
8794800	20	10	0	2.50	5	160	1012.2450	0
8798400	20	10	0	2.50	5	160	1012.2451	0
8802000	20	10	0	3.109	5	160	1012.2452	0
8805600	20	10	0	2.149	5	160	1012.2453	0
8809200	20	10	0	3.30	5	160	1012.2454	0
8812800	20	10	0	3.30	5	160	1012.2455	0
8816400	20	10	0	4.2340	5	160	1012.2456	0
8820000	20	10	0	4.2360	5	160	1012.2457	0
8823600	20	10	0	2.139	5	160	1012.2458	0
8827200	20	10	0	3.20	5	160	1012.2459	0
8830800	20	10	0	3.90	5	160	1012.2460	0
8834400	20	10	0	3.30	5	160	1012.2461	0
8838000	20	10	0	5.30	5	160	1012.2462	0
8841600	20	10	0	5.30	5	160	1012.2463	0
8845200	20	10	0	4.89	5	160	1012.2464	0
8848800	20	10	0	3.149	5	160	1012.2465	0
8852400	20	10	0	5.119	5	160	1012.2466	0
8856000	20	10	0	0.70	5	160	1012.2467	0
8859600	20	10	0	0.00	5	160	1012.2468	0
8863200	20	10	0	0.00	5	160	1012.2469	0
8866800	20	10	0	0.00	5	160	1012.2470	0
8870400	20	10	0	1.150	5	160	1012.2471	0
8874000	20	10	0	2.110	5	160	1012.2472	0
8877600	20	10	0	1.130	5	160	1012.2473	0
8881200	20	10	0	4.150	5	160	1012.2474	0
8884800	20	10	0	3.80	5	160	1012.2475	0
8888400	20	10	0	3.60	5	160	1012.2476	0
8892000	20	10	0	3.80	5	160	1012.2477	0
8895600	20	10	0	4.110	5	160	1012.2478	0
8899200	20	10	0	3.60	5	160	1012.2479	0
8902800	20	10	0	4.120	5	160	1012.2480	0
8906400	20	10	0	5.00	5	160	1012.2481	0
8910000	20	10	0	5.00	5	160	1012.2482	0
8913600	20	10	0	4.9520	5	160	1012.2483	0
8917200	20	10	0	4.9600	5	160	1012.2484	0
8920800	20	10	0	3.50	5	160	1012.2485	0
8924400	20	10	0	3.30	5	160	1012.2486	0
8928000	20	10	0	3.00	5	160	1012.2487	0
8931600	20	10	0	3.00	5	160	1012.2488	0
8935200	20	10	0	2.60	5	160	1012.2489	0
8938800	20	10	0	2.90	5	160	1012.2490	0
8942400	20	10	0	2.50	5	160	1012.2491	0
8946000	20	10	0	2.50	5	160	1012.2492	0
8949600	20	10	0	3.110	5	160	1012.2493	0
8953200	20	10	0	2.150	5	160	1012.2494	0
8956800	20	10	0	3.30	5	160	1012.2495	0
8960400	20	10	0	3.30	5	160	1012.2496	0
8964000	20	10	0	4.2380	5	160	1012.2497	0
8967600	20	10	0	4.2400	5	160	1012.2498	0
8971200	20	10	0	2.140	5	160	1012.2499	0
8974800	20	10	0	3.20	5	160	1012.2500	0
8978400	20	10	0	3.90	5	160	1012.2501	0
8982000	20	10	0	3.30	5	160	1012.2502	0
8985600	20	10	0	5.30	5	160	1012.2503	0
8989200	20	10	0	5.30	5	160	1012.2504	0
8992800	20	10	0	4.90	5	160	1012.2505	0
8996400	20	10	0	3.150	5	160	1012.2506	0
9000000	20	10	0	5.120	5	160	1012.2507	0
9003600	20	10	0	0.70	5	160	1012.2508	0
9007200	20	10	0	0.00	5	160	1012.2509	0
9010800	20	10	0	0.00	5	160	1012.2510	0
9014400	20	10	0	0.00	5	160	1012.2511	0
9018000	20	10	0	1.151	5	160	1012.2512	0
9021600	20	10	0	2.111	5	160	1012.2513	0
9025200	20	10	0	1.131	5	160	1012.2514	0
9028800	20	10	0	4.151	5	160	1012.2515	0
9032400	20	10	0	3.80	5	160	1012.2516	0
9036000	20	10	0	3.60	5	160	1012.2517	0
9039600	20	10	0	3.80	5	160	1012.2518	0
9043200	20	10	0	4.111	5	160	1012.2519	0
9046800	20	10	0	3.61	5	160	1012.2520	0
9050400	20	10	0	4.121	5	160	1012.2521	0
9054000	20	10	0	5.00	5	160	1012.2522	0
9057600	20	10	0	5.00	5	160	1012.2523	0
9061200	20	10	0	4.9680	5	160	1012.2524	0
9064800	20	10	0	4.9760	5	160	1012.2525	0
9068400	20	10	0	3.50	5	160	1012.2526	0
9072000	20	10	0	3.30	5	160	1012.2527	0
9075600	20	10	0	3.00	5	160	1012.2528	0
9079200	20	10	0	3.00	5	160	1012.2529	0
9082800	20	10	0	2.60	5	160	1012.2530	0
9086400	20	10	0	2.90	5	160	1012.2531	0
9090000	20	10	0	2.50	5	160	1012.2532	0
9093600	20	10	0	2.50	5	160	1012.2533	0
9097200	20	10	0	3.111	5	160	1012.2534	0
9100800	20	10	0	2.151	5	160	1012.2535	0
9104400	20	10	0	3.30	5	160	1012.2536	0
9108000	20	10	0	3.30	5	160	1012.2537	0
9111600	20	10	0	4.2420	5	160	1012.2538	0
9115200	20	10	0	4.2440	5	160	1012.2539	0
9118800	20	10	0	2.141	5	160	1012.2540	0
9122400	20	10	0	3.20	5	160	1012.2541	0
9126000	20	10	0	3.90	5	160	1012.2542	0
9129600	20	10	0	3.30	5	160	1012.2543	0
9133200	20	10	0	5.30	5	160	1012.2544	0
9136800	20	10	0	5.30	5	160	1012.2545	0
9140400	20	10	0	4.91	5	160	1012.2546	0
9144000	20	10	0	3.151	5	160	1012.2547	0
9147600	20	10	0	5.121	5	160	1012.2548	0
9151200	20	10	0	0.70	5	160	1012.2549	0
9154800	20	10	0	0.00	5	160	1012.2550	0
9158400	20	10	0	0.00	5	160	1012.2551	0
9162000	20	10	0	0.00	5	160	1012.2552	0
9165600	20	10	0	1.152	5	160	1012.2553	0
9169200	20	10	0	2.112	5	160	1012.2554	0
9172800	20	10	0	1.132	5	160	1012.2555	0
9176400	20	10	0	4.152	5	160	1012.2556	0
9180000	20	10	0	3.80	5	160	1012.2557	0
9183600	20	10	0	3.60	5	160	1012.2558	0
9187200	20	10	0	3.80	5	160	1012.2559	0
9190800	20	10	0	4.112	5	160	1012.2560	0
9194400	20	10	0	3.62	5	160	1012.2561	0
